,,,,,Total Summed Signal to Noise,,,,,,,,,,,,,,,,,,,
sp|P14106|C1QB_MOUSE,C1qb,C1QB_MOUSE Complement C1q subcomponent subunit B,7,2,2473.73,3131.78,796.162,635.475,1781.58,1468.43,4050.62,5521.62,2359.02,1279.73,529.842,387.08,369.309,516.464,462.416,419.846,525.618,708.16,428.942,589.802
sp|P14115|RL27A_MOUSE,Rpl27a,RL27A_MOUSE 60S ribosomal protein L27a,4,2,1619.27,1970.72,2331.16,1202.71,2243.09,1992.1,2473.89,1936.28,932.121,1033.28,323.188,292.884,236.007,222.851,313.981,336.177,303.438,360.359,399.301,297.891
sp|P14131|RS16_MOUSE,Rps16,RS16_MOUSE 40S ribosomal protein S16,9,2,3245.21,3643.2,5153.15,3077.63,4646.18,4665.16,5267.16,3678.15,1996.12,2013.76,287.034,319.136,212.383,269.901,297.635,408.107,354.219,467.467,259.662,363.746
sp|P14148|RL7_MOUSE,Rpl7,RL7_MOUSE 60S ribosomal protein L7,16,9,8997.82,8647.68,14618.9,6162.87,14274.1,12315.3,13868.3,11915.7,4905.94,4628.38,3819.9,3647.07,2037.59,3465.26,3937.86,3812.33,4577.08,5434.67,1634.18,3253.17
sp|P14152|MDHC_MOUSE,Mdh1,"MDHC_MOUSE Malate dehydrogenase, cytoplasmic",1,1,172.8,216.586,244.142,62.6683,193.071,225.086,150.872,221.314,162.596,231.385,27.0144,19.8674,86.8287,53.9728,26.1759,23.4935,17.8988,27.2326,78.8161,42.4346
sp|P14206|RSSA_MOUSE,Rpsa,RSSA_MOUSE 40S ribosomal protein SA,3,1,433.142,536.129,616.847,185.082,554.012,416.443,549.546,652.059,457.84,630.681,60.3548,29.8936,53.1018,61.4511,56.0693,40.5143,42.0739,56.7677,50.8395,59.1677
sp|P14211|CALR_MOUSE,Calr,CALR_MOUSE Calreticulin,7,4,4298.11,3353.92,9968.82,1913.69,6812.84,4392.82,7625.06,6195.33,3724.62,5680.65,1570.62,1380.98,981.362,2031.21,944.497,1044.83,1122.05,1915.95,1179.98,2167.43
sp|P14602|HSPB1_MOUSE,Hspb1,HSPB1_MOUSE Heat shock protein beta-1,1,1,54.2956,308.077,27.8894,16.0674,81.118,70.3536,43.1784,233.141,93.7236,1517.43,28.9661,35.2591,164.914,27.3573,24.3243,14.8163,32.6446,32.2625,334.42,21.9927
sp|P14824|ANXA6_MOUSE,Anxa6,ANXA6_MOUSE Annexin A6,3,5,689.179,525.859,788.388,368.957,578.134,566.905,532.842,619.468,614.9,864.001,431.165,546.57,528.44,888.76,563.297,679.167,540.623,477.523,436.282,1303.89
sp|P14869|RLA0_MOUSE,Rplp0,RLA0_MOUSE 60S acidic ribosomal protein P0,12,9,5259.13,5647.63,7507.65,3203.03,7046.43,7236.99,7973.36,7451.83,3287.81,3391.24,1109.98,1693.91,1302.39,1734.73,1353,2485.67,2647.57,1890.28,802.305,1730.52
sp|P15105|GLNA_MOUSE,Glul,GLNA_MOUSE Glutamine synthetase,3,1,549.876,466.716,774.302,571.317,894.459,546.745,691.742,624.757,507.478,564.633,94.1924,92.3905,151.093,162.52,82.7153,102.205,76.4823,67.2118,24.8299,67.4889
sp|P15532|NDKA_MOUSE,Nme1,NDKA_MOUSE Nucleoside diphosphate kinase A,1,1,160.829,336.327,328.044,86.7729,324.941,242.96,441.402,277.8,267.519,257.664,61.4794,56.6763,42.9132,69.1042,83.7266,51.1798,36.3065,73.1188,52.0777,972.766
sp|P15864|H12_MOUSE,Hist1h1c,H12_MOUSE Histone H1.2,10,8,8146.47,11752.3,22129.2,3220.12,19491.7,15333.3,13816.5,12259.4,10063,4880.79,3936.67,3136.02,1006.86,3070.49,3195.39,3185.48,2944.72,2910.01,2560.99,2841.23
sp|P16015|CAH3_MOUSE,Ca3,CAH3_MOUSE Carbonic anhydrase 3,4,1,988.117,625.769,1121.27,810.597,1197.48,888.197,588.05,721.348,957.686,1165.28,72.7707,85.2957,65.3416,125.477,67.078,82.9389,61.7577,79.0673,75.0675,122.849
sp|P16331|PH4H_MOUSE,Pah,PH4H_MOUSE Phenylalanine-4-hydroxylase,1,0,239.983,91.4367,125.706,307.914,204.92,73.6615,130.025,101.634,120.358,158.657,0,0,0,0,0,0,0,0,0,0
sp|P16460|ASSY_MOUSE,Ass1,ASSY_MOUSE Argininosuccinate synthase,14,8,8643.23,3878.44,7898.2,8921.92,9973.16,4471.75,5048.78,4521.54,4900.56,6630.95,1793.33,2012.51,1759.47,2490.6,1292.02,1666.65,2991.86,1642.23,1143.79,1615.18
sp|P16546|SPTN1_MOUSE,Sptan1,"SPTN1_MOUSE Spectrin alpha chain, non-erythrocytic 1",37,26,9427.55,5241.31,5012.06,16322.8,4441.24,5595,3915.89,5789.33,4633.68,3892.59,3890.11,3857,3519.58,4046.69,3689.74,4231.94,3510.35,3130.67,1983.14,2897.31
sp|P16858|G3P_MOUSE,Gapdh,G3P_MOUSE Glyceraldehyde-3-phosphate dehydrogenase,5,5,1969.02,2637.11,2877.15,939.667,2220.35,2289.95,2978.48,2796.01,3823.51,3067.32,1186.19,1338.2,1049.25,1275.22,1298.88,1183.36,947.144,1856.33,1972.66,1116.81
sp|P17156|HSP72_MOUSE,Hspa2,HSP72_MOUSE Heat shock-related 70 kDa protein 2,12,15,4651.05,4090.32,4494.74,5129.37,3792.17,3825.22,4079.29,5044.11,4918.02,4450.08,2766.77,2945.37,2894.02,3433.14,2901.2,2716.43,2362.28,3519.44,4900.87,13812.2
sp|P17182|ENOA_MOUSE,Eno1,ENOA_MOUSE Alpha-enolase,5,6,1600.9,4779.64,1987.48,628.939,1625.31,1791.77,2834.24,3897.68,2339.04,3601.9,789.271,704.171,2048.57,730.962,671.984,638.66,647.149,699.302,1615.82,682.704
sp|P17225|PTBP1_MOUSE,Ptbp1,PTBP1_MOUSE Polypyrimidine tract-binding protein 1,4,1,1106.99,1124.77,1350.93,1395.77,1483.19,2211.19,1168.78,1075.36,913.538,881.582,149.031,93.4634,89.8423,64.0466,94.2978,119.58,169.298,72.061,371.24,63.149
sp|P17426|AP2A1_MOUSE,Ap2a1,AP2A1_MOUSE AP-2 complex subunit alpha-1,44,27,16800,6087.63,9044.6,30498.3,7940.01,9979.49,5026.58,8892.48,5303.61,5032.05,3454.93,4708.92,8648.56,3950.91,3192.68,6624.55,3005.98,2064.83,2537.11,1704.89
sp|P17427|AP2A2_MOUSE,Ap2a2,AP2A2_MOUSE AP-2 complex subunit alpha-2,32,23,12845.1,3015.17,4778.62,24905.4,4564.33,7186.54,3213.77,4971.55,3267.77,3760.31,4209.65,5726,10637.7,5176.6,4484.53,8773.8,3249.8,2470.49,1612.35,2104.71
sp|P17717|UDB17_MOUSE,Ugt2b17,UDB17_MOUSE UDP-glucuronosyltransferase 2B17,9,6,4231.65,2821.39,6576.73,1701.41,4616.17,3280.47,3917.1,2860.13,4031.82,6060.51,1193.96,1789.1,1093.81,3058.75,997.437,1380.56,1122.03,1507.46,828.749,2157.44
sp|P17742|PPIA_MOUSE,Ppia,PPIA_MOUSE Peptidyl-prolyl cis-trans isomerase A,6,3,1280.59,3362.02,2557.8,549.671,1643.53,1454.66,1200.94,2728.1,2696.09,3099.09,227.36,269.159,310.37,305.123,264.598,189.414,214.917,313.116,792.122,295.689
sp|P17751|TPIS_MOUSE,Tpi1,TPIS_MOUSE Triosephosphate isomerase,1,2,234.377,630.843,349.355,63.9572,264.838,286.899,330.057,349.997,310.717,391.736,216.007,385.549,387.718,703.556,296.171,208.044,166.69,309.688,606.13,202.673
sp|P17879|HS71B_MOUSE,Hspa1b,HS71B_MOUSE Heat shock 70 kDa protein 1B,1,6,108.024,191.32,148.664,52.3814,129.418,102.472,136.284,201.036,153.686,390.48,465.577,414.684,830.431,479.351,551.589,405.754,438.812,600.521,2125.93,1074.22
sp|P17897|LYZ1_MOUSE,Lyz1,LYZ1_MOUSE Lysozyme C-1,1,1,282.497,219.134,229.008,54.1326,197.615,192.862,200.452,256.666,222.674,657.755,215.378,85.1219,41.4534,67.75,108.09,164.085,102.01,174.916,403.321,142.449
sp|P18760|COF1_MOUSE,Cfl1,COF1_MOUSE Cofilin-1,7,0,2317.51,4313.66,2479.11,2370.7,1930.16,2055.05,1749.15,2531.94,2100.13,2378.56,0,0,0,0,0,0,0,0,0,0
sp|P18828|SDC1_MOUSE,Sdc1,SDC1_MOUSE Syndecan-1,1,1,152.378,218.233,136.208,125.406,332.475,168.663,177.975,189.014,213.698,138.676,147.73,172.594,118.813,363.639,262.076,139.947,68.8317,151.503,46.5354,126.009
sp|P19096|FAS_MOUSE,Fasn,FAS_MOUSE Fatty acid synthase,3,3,831.203,464.477,581.582,1216.65,632.835,625.872,477.438,564.625,661.309,782.662,687.182,461.308,494.428,457.498,651.109,670.604,658.152,477.043,511.242,500.669
sp|P19157|GSTP1_MOUSE,Gstp1,GSTP1_MOUSE Glutathione S-transferase P 1,4,2,1001.34,464.149,1358.98,923.527,1333.7,869.77,818.141,716.38,1104.35,1384.49,176.19,161.437,136.9,256.761,113.873,162.004,124.768,175.176,145.017,275.055
sp|P19253|RL13A_MOUSE,Rpl13a,RL13A_MOUSE 60S ribosomal protein L13a,10,4,5995.16,5604.04,9659.19,4442.47,8955.55,7826.01,8748.88,7836.71,2847.13,3230.28,1440.77,1339.18,742.248,1450.01,1691.28,1668.01,1625.06,1813.45,598.797,1139.57
sp|P20029|GRP78_MOUSE,Hspa5,GRP78_MOUSE 78 kDa glucose-regulated protein,25,20,11226.1,11463.6,18557,4938.23,11994.9,8275.85,14350.6,11648.7,12997.2,17056.9,3804.08,3148,2575.69,5083.28,2762.72,2651.05,2967.42,4539.47,3221.71,8044.94
sp|P20152|VIME_MOUSE,Vim,VIME_MOUSE Vimentin,3,1,1251.86,1096.79,1465.53,1134.46,915.306,909.401,902.781,1345.51,927.427,687.794,321.435,315.766,277.746,376.425,300.097,329.834,345.131,430.928,205.131,260.311
sp|P20852|CP2A5_MOUSE,Cyp2a5,CP2A5_MOUSE Cytochrome P450 2A5,3,5,745.519,767.416,811.015,328.48,694.103,651.301,847.375,1008.19,1032.47,909.65,322.852,337.329,236.382,525.91,269.857,336.023,582.82,496.73,343.361,584.54
sp|P20918|PLMN_MOUSE,Plg,PLMN_MOUSE Plasminogen,6,0,1632.1,897.478,1290.55,1978.93,1232.65,1191.09,1221.99,1075.85,799.564,1360.26,0,0,0,0,0,0,0,0,0,0
sp|P21107-2|TPM3_MOUSE,Tpm3,TPM3_MOUSE Isoform 2 of Tropomyosin alpha-3 chain,10,6,4984.39,3367.65,2480.65,7872.72,1958.41,3212.48,1737.21,2909.74,4158.97,2450.1,1006.02,1030.25,1447.04,759.161,744.265,1156.96,769.883,1060.42,536.304,492.03
sp|P21271|MYO5B_MOUSE,Myo5b,MYO5B_MOUSE Unconventional myosin-Vb,19,14,7426.38,2757.31,3546.99,11615.2,3268.91,5087.05,4821.8,3478.25,2681.6,3263.71,2333.52,1842.1,2124.38,1834.16,2935.03,3596.59,2639.36,1510.21,1202.78,1291.05
sp|P21981|TGM2_MOUSE,Tgm2,TGM2_MOUSE Protein-glutamine gamma-glutamyltransferase 2,1,1,157.628,177.635,235.057,35.1219,182.052,149.84,118.227,214.464,174.598,142.826,79.3778,69.7832,54.0064,101.161,122.684,83.6663,93.6229,105.309,77.0249,94.2982
sp|P22892|AP1G1_MOUSE,Ap1g1,AP1G1_MOUSE AP-1 complex subunit gamma-1,7,2,1990.71,927.172,1261.06,4499.77,1233.09,1607.98,753.288,1326.19,1102.68,977.645,165.029,239.646,436.354,172.225,136.715,336.099,779.458,122.716,342.257,138.453
sp|P23116|EIF3A_MOUSE,Eif3a,EIF3A_MOUSE Eukaryotic translation initiation factor 3 subunit A,1,0,512.324,494.661,613.323,285.919,734.661,493.028,423.562,593.8,517.831,516.827,0,0,0,0,0,0,0,0,0,0
sp|P23198|CBX3_MOUSE,Cbx3,CBX3_MOUSE Chromobox protein homolog 3,1,0,328.095,687.316,738.708,96.0802,497.246,533.664,474.606,679.954,472.8,415.077,0,0,0,0,0,0,0,0,0,0
sp|P24270|CATA_MOUSE,Cat,CATA_MOUSE Catalase,5,3,1441.32,1093.03,1448.79,715.572,1353.31,1347.79,1655.81,1473.17,1329.75,1332.26,451.982,397.209,337.85,348.252,413.145,289.349,345.575,529.289,421.854,486.572
sp|P24369|PPIB_MOUSE,Ppib,PPIB_MOUSE Peptidyl-prolyl cis-trans isomerase B,4,2,2023.34,1918.89,4289.11,615.224,3747.35,2206.48,3213.21,2878.61,1724.87,2270.35,291.374,306.439,273.133,533.898,211.379,253.532,283.934,393.59,305.954,409.197
sp|P24456|CP2DA_MOUSE,Cyp2d10,CP2DA_MOUSE Cytochrome P450 2D10,7,4,2143.6,1967.74,4855.11,924.45,2632.75,1970.63,2795.12,2035.71,2552.23,3181.62,1285.39,1330.7,878.943,2297.19,937.274,1276.09,1096.13,1424.48,892.751,1803.1
sp|P24549|AL1A1_MOUSE,Aldh1a1,AL1A1_MOUSE Retinal dehydrogenase 1,4,5,1648.35,940.97,1560.78,790.783,1292.56,1406.51,1327.63,1258.97,1959.89,2297.56,621.738,540.658,573.55,1043.78,627.127,659.639,621.12,654.556,676.186,2737.96
sp|P24721|ASGR2_MOUSE,Asgr2,ASGR2_MOUSE Asialoglycoprotein receptor 2,1,1,201.786,137.695,268.314,206.163,230.051,198.679,193.704,184.608,136.888,175.895,49.3203,46.0046,45.5412,72.8379,75.2409,44.386,45.5122,65.7095,41.3324,55.8464
sp|P25444|RS2_MOUSE,Rps2,RS2_MOUSE 40S ribosomal protein S2,10,5,7375.45,7260.49,9583.29,7198.84,9513.87,8662.63,10148.6,8007.88,3464.05,3336.94,1681.83,1819.1,1183.67,1621.51,1884.56,1914.13,2043.15,2379.61,1189.56,4136.53
sp|P25688|URIC_MOUSE,Uox,URIC_MOUSE Uricase,1,0,180.031,61.5459,182.987,343.383,124.695,69.1576,199.079,214.85,88.0766,102.589,0,0,0,0,0,0,0,0,0,0
sp|P26043|RADI_MOUSE,Rdx,RADI_MOUSE Radixin,10,4,2689.95,2926.54,3766.41,1355.31,2634.06,2625.2,2471.98,3253.06,2443.61,3066.68,331.118,420.834,362.788,407.836,538.869,380.598,432.178,539.449,437.469,714.799
sp|P26150|3BHS3_MOUSE,Hsd3b3,3BHS3_MOUSE 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3,2,0,432.238,245.837,509.761,212.254,428.232,249.033,405.147,364.152,265.599,272.876,0,0,0,0,0,0,0,0,0,0
sp|P26151|FCGR1_MOUSE,Fcgr1,FCGR1_MOUSE High affinity immunoglobulin gamma Fc receptor I,2,1,574.774,326.706,515.023,154.191,478.46,607.75,1446.61,859.142,536.193,401.823,57.7614,48.4815,35.9891,52.4698,73.0925,63.3126,181.236,140.719,43.6784,86.5512
sp|P26231|CTNA1_MOUSE,Ctnna1,CTNA1_MOUSE Catenin alpha-1,1,1,133.083,82.4224,28.0567,162.248,8.30174,20.3318,25.1481,57.2608,52.9798,19.608,68.9327,80.214,116.525,87.4217,85.8808,102.078,97.6011,89.4772,62.0643,64.6159
sp|P26443|DHE3_MOUSE,Glud1,"DHE3_MOUSE Glutamate dehydrogenase 1, mitochondrial",5,1,1751.63,2274.99,4519.25,874.508,2516.98,2285.21,2761.36,2059.69,1572.67,1481.93,362.66,284.677,102.161,278.495,218.57,319.616,240.702,383.45,104.973,345.405
sp|P27659|RL3_MOUSE,Rpl3,RL3_MOUSE 60S ribosomal protein L3,14,9,7069.13,7419.96,11017.4,5199.43,8974.46,8200.12,10306.1,8653.95,4253.66,5347.46,1980.85,1896.4,1051.82,1810.34,2124.17,1974.32,2203.48,2729.31,1667.04,1663.43
sp|P27773|PDIA3_MOUSE,Pdia3,PDIA3_MOUSE Protein disulfide-isomerase A3,15,13,7132.78,6634.48,14510.9,2771.46,10288.6,6958.22,11679,9389.49,8258.46,10694.4,2569.63,1965.2,1582,3519.8,1478.58,1644.97,2538.1,3459.88,2407.24,4059.49
sp|P28230|CXB1_MOUSE,Gjb1,CXB1_MOUSE Gap junction beta-1 protein,2,1,1141.35,373.918,453.789,1736.37,493.026,1026.62,444.175,535.635,372.35,318.821,105.125,89.0216,158.492,98.4698,98.5511,204.288,96.2758,70.9024,19.4364,32.1568
sp|P28653|PGS1_MOUSE,Bgn,PGS1_MOUSE Biglycan,2,0,568.585,527.559,600.737,464.414,590.592,341.851,1071.74,1263.01,375.517,787.401,0,0,0,0,0,0,0,0,0,0
sp|P28654|PGS2_MOUSE,Dcn,PGS2_MOUSE Decorin,1,1,627.581,414.148,364.567,563.596,252.023,289.296,282.212,249.011,331.099,325.3,208.854,242.512,187.279,193.736,228.205,248.349,149.315,163.718,82.7595,103.599
sp|P28843|DPP4_MOUSE,Dpp4,DPP4_MOUSE Dipeptidyl peptidase 4,1,1,202.039,196.73,243.863,132.885,260.069,185.275,168.989,167.352,256.034,280.96,151.034,122.088,95.4942,177.277,126.067,115.349,94.2981,140.86,100.388,118.497
sp|P29341|PABP1_MOUSE,Pabpc1,PABP1_MOUSE Polyadenylate-binding protein 1,10,13,4238.33,3134.65,4430.96,3983.84,4003.03,5088.11,3679.38,4466.61,4149.4,3665.19,1993.96,2383.82,1454.88,2578.05,3052.73,4845.9,2264.31,1736.1,1374.85,2175.46
sp|P29391|FRIL1_MOUSE,Ftl1,FRIL1_MOUSE Ferritin light chain 1,2,0,431.297,513.563,732.904,192.79,657.977,511.57,501.767,667.584,524.808,508.919,0,0,0,0,0,0,0,0,0,0
sp|P30115|GSTA3_MOUSE,Gsta3,GSTA3_MOUSE Glutathione S-transferase A3,2,0,1372.09,1180.86,3009.98,1092.14,2140.28,1405.34,1681.76,1084.93,1224.8,1373.04,0,0,0,0,0,0,0,0,0,0
sp|P31254|UBA1Y_MOUSE,Uba1y,UBA1Y_MOUSE Ubiquitin-like modifier-activating enzyme 1 Y,0,1,0,0,0,0,0,0,0,0,0,0,41.7448,37.1953,28.6988,58.9528,87.6319,35.2184,57.6883,77.6627,65.7476,153.289
sp|P32020|NLTP_MOUSE,Scp2,NLTP_MOUSE Non-specific lipid-transfer protein,7,1,2906.8,1622.58,2372.11,3629.77,2046.14,1654.32,2279.09,1962.92,1785.75,1987.02,113.931,111.891,140.796,138.635,115.759,133.193,163.483,144.705,130.602,98.3726
sp|P33267|CP2F2_MOUSE,Cyp2f2,CP2F2_MOUSE Cytochrome P450 2F2,10,4,3635.98,4009.11,7597.75,1687.02,5306.88,3928.44,4148.35,3669.66,4284.68,5576.5,385.435,440.804,331.398,688.911,341.355,361.824,359.098,412.482,446.084,606.664
sp|P34914|HYES_MOUSE,Ephx2,HYES_MOUSE Bifunctional epoxide hydrolase 2,2,0,648.007,439.922,538.345,689.972,526.948,601.49,565.791,571.918,728.074,861.119,0,0,0,0,0,0,0,0,0,0
sp|P34927|ASGR1_MOUSE,Asgr1,ASGR1_MOUSE Asialoglycoprotein receptor 1,1,3,131.511,144.362,322.489,108.25,175.147,180.289,164.834,164.652,141.775,212.21,247.612,266.739,215.011,287.672,252.64,248.644,195.518,253.942,647.35,272.276
sp|P34928|APOC1_MOUSE,Apoc1,APOC1_MOUSE Apolipoprotein C-I,1,0,199.296,501.248,575.915,103.387,412.824,394.8,326.308,340.698,370.513,323.477,0,0,0,0,0,0,0,0,0,0
sp|P35492|HUTH_MOUSE,Hal,HUTH_MOUSE Histidine ammonia-lyase,1,2,123.11,93.0553,106.828,46.2998,157.651,130.996,121.784,130.413,163.748,116.417,152.465,141.608,368.271,178.193,218.498,171.248,147.436,226.618,236.51,216.371
sp|P35564|CALX_MOUSE,Canx,CALX_MOUSE Calnexin,6,2,1850.42,2043.29,3713.02,717.271,2592.64,1991.51,2830.58,2493.73,2434.46,3535.79,793.53,659.335,389.38,847.875,636.389,623.342,1146.06,779.001,1040.82,872.753
sp|P35585|AP1M1_MOUSE,Ap1m1,AP1M1_MOUSE AP-1 complex subunit mu-1,3,0,587.918,471.898,746.129,746.271,523.733,1596.19,473.924,584.605,500.428,652.051,0,0,0,0,0,0,0,0,0,0
sp|P35700|PRDX1_MOUSE,Prdx1,PRDX1_MOUSE Peroxiredoxin-1,12,7,5259.82,4622.64,4803.8,7278.29,4188.11,4119.95,5202.19,5334.62,3793.45,6074.01,1510.54,1427.04,1697.52,1455.4,1543.17,1380.19,1248.22,1666.43,1801.32,1179.78
sp|P35922|FMR1_MOUSE,Fmr1,FMR1_MOUSE Fragile X mental retardation protein 1 homolog,2,2,804.802,440.577,436.549,978.073,457.633,529.203,536.053,691.149,496.532,471.823,144.932,215.152,154.706,240.444,340.058,229.386,266.109,242.026,172.354,441.624
sp|P35979|RL12_MOUSE,Rpl12,RL12_MOUSE 60S ribosomal protein L12,7,3,2553.84,2841.07,4435.69,1743.15,3621,3340.5,3646.71,3698.89,1864.39,1997.86,940.75,1015.71,557.041,1036.81,922.879,945.777,1190.89,1312.43,922.32,2105.51
sp|P35980|RL18_MOUSE,Rpl18,RL18_MOUSE 60S ribosomal protein L18,4,5,2330.44,1810.89,3700.41,1328.32,3071.29,3054.66,3101.01,3098.69,1417.44,1263.13,919.333,1088.59,593.635,1311.14,1193.76,1203.47,1426.33,1419.96,586.795,1005.57
sp|P36536|SAR1A_MOUSE,Sar1a,SAR1A_MOUSE GTP-binding protein SAR1a,1,0,135.18,53.696,138.89,74.7247,140.283,156.319,154.212,115.718,62.3383,98.6312,0,0,0,0,0,0,0,0,0,0
sp|P37040|NCPR_MOUSE,Por,NCPR_MOUSE NADPH--cytochrome P450 reductase,7,1,2155.92,1989.38,3800.4,788.979,2485.57,1920.18,3077.11,2259.4,2530.06,3266.79,183.502,182.179,125.022,310.68,136.741,127.971,171.652,293.598,149.029,400.249
sp|P39061|COIA1_MOUSE,Col18a1,COIA1_MOUSE Collagen alpha-1(XVIII) chain,2,0,500.678,479.908,458.916,315.686,428.775,531.77,482.838,620.198,438.087,461.286,0,0,0,0,0,0,0,0,0,0
sp|P40142|TKT_MOUSE,Tkt,TKT_MOUSE Transketolase,3,1,1137.01,1803.75,1221.42,764.063,2111.91,914.244,1582.7,1749.21,1770.43,2440.23,47.4522,45.3921,96.7606,60.9357,50.9523,40.5675,32.904,50.8928,93.2977,55.13
sp|P41105|RL28_MOUSE,Rpl28,RL28_MOUSE 60S ribosomal protein L28,5,2,2768.18,3088.59,5466.41,2017.7,6430.42,5428.98,5068.83,4519,2325.58,1552.64,766.065,741.332,350.886,759.645,784.966,754.363,946.207,1032.78,345.566,694.659
sp|P41216|ACSL1_MOUSE,Acsl1,ACSL1_MOUSE Long-chain-fatty-acid--CoA ligase 1,20,13,7500.03,5333.46,10235.5,5203.83,7442.59,5800.69,6390.87,5115.02,6957.37,10244.6,2328.37,2560.36,1994.76,3742.82,2111.97,2484.24,2034.56,2463.38,1795.24,3773.47
sp|P42208|SEPT2_MOUSE,2-Sep,SEPT2_MOUSE Septin-2,1,0,127.296,109.891,154.094,81.9501,118.294,130.191,69.4376,179.69,97.9677,99.7882,0,0,0,0,0,0,0,0,0,0
sp|P42567|EPS15_MOUSE,Eps15,EPS15_MOUSE Epidermal growth factor receptor substrate 15,19,9,6789.16,2403.58,2880.92,11795.6,2953.88,4584.2,2377.97,3338.73,2153.79,1891.09,1162.78,1078.66,1902.21,1054.42,1178.09,2145.75,842.526,729.284,553.964,646.868
sp|P42669|PURA_MOUSE,Pura,PURA_MOUSE Transcriptional activator protein Pur-alpha,2,0,1134.81,968.075,1107.03,872.405,1251.83,1144.41,905.829,904.234,875.087,880.657,0,0,0,0,0,0,0,0,0,0
sp|P42932|TCPQ_MOUSE,Cct8,TCPQ_MOUSE T-complex protein 1 subunit theta,1,2,111.494,135.378,181.728,35.6596,130.267,143.397,234.999,199.651,117.428,111.181,136.08,152.5,107.562,223.312,147.448,141.955,131.213,161.762,211.925,208.358
sp|P43274|H14_MOUSE,Hist1h1e,H14_MOUSE Histone H1.4,2,1,808.548,910.899,1900.38,316.22,1600.4,1477.6,1162.16,1319.28,768.156,837.017,403.548,221.986,144.778,217.231,382.164,249.749,318.287,334.489,165.364,279.24
sp|P43276|H15_MOUSE,Hist1h1b,H15_MOUSE Histone H1.5,2,2,752.268,1224.83,1898.16,337.861,2057.07,1817.1,1382.62,2070.53,1296.01,889.406,310.288,243.55,136.375,361.086,269.388,261.925,281.849,271.135,242.268,350.462
sp|P45952|ACADM_MOUSE,Acadm,"ACADM_MOUSE Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0,2,0,0,0,0,0,0,0,0,0,0,94.1173,117.936,58.3652,216.273,207.025,80.841,82.1324,134.523,86.7148,2328.82
sp|P46471|PRS7_MOUSE,Psmc2,PRS7_MOUSE 26S protease regulatory subunit 7,1,2,312.645,443.932,229.745,156.355,389.95,375.72,439.589,255.373,422.006,260.451,161.766,50.4237,101.045,135.645,277.81,157.643,145.975,281.425,141.125,564.942
sp|P46735|MYO1B_MOUSE,Myo1b,MYO1B_MOUSE Unconventional myosin-Ib,34,27,15514.4,4148.26,4470.78,23929.8,4875.84,6481.59,4069.15,5090.63,3159.89,3451.17,5940.03,8088.98,11295.7,4972.15,5667.71,10063.2,3047.36,3114.96,1345.76,1461.16
sp|P46978|STT3A_MOUSE,Stt3a,STT3A_MOUSE Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,3,0,733.811,740.907,915.667,327.975,882.901,775.858,948.888,724.17,774.103,828.727,0,0,0,0,0,0,0,0,0,0
sp|P47738|ALDH2_MOUSE,Aldh2,"ALDH2_MOUSE Aldehyde dehydrogenase, mitochondrial",0,1,0,0,0,0,0,0,0,0,0,0,84.8117,202.389,123.838,488.607,387.459,263.673,289.32,318.265,552.779,704.313
sp|P47740|AL3A2_MOUSE,Aldh3a2,AL3A2_MOUSE Fatty aldehyde dehydrogenase,7,4,3441.39,2574.96,5563.99,1693.51,2694.59,3644.01,2856.56,3158.27,4321.54,4868.73,733.243,796.021,504.9,1146.83,747.852,843.146,1056.71,940.887,560.963,1035.99
sp|P47753|CAZA1_MOUSE,Capza1,CAZA1_MOUSE F-actin-capping protein subunit alpha-1,1,1,163.554,172.738,174.191,226.082,184.674,148.016,141.153,162.033,72.3823,123.973,133.634,108.636,157.8,154.257,161.671,140.935,114.062,150.634,241.442,183.095
sp|P47754|CAZA2_MOUSE,Capza2,CAZA2_MOUSE F-actin-capping protein subunit alpha-2,3,2,739.32,280.343,400.028,1161.78,357.44,404.087,382.969,510.544,251.144,289.829,298.609,357.271,513.581,381.23,325.566,497.26,412.733,409.868,425.216,213.958
sp|P47757-2|CAPZB_MOUSE,Capzb,CAPZB_MOUSE Isoform 2 of F-actin-capping protein subunit beta,11,2,3536.44,1776.27,1782.3,6068.97,1680.94,2071.8,1539.96,2185.95,1241.31,1112,221.394,275.308,336.63,334.47,258.46,320.432,274.458,335.018,273.267,570.38
sp|P47911|RL6_MOUSE,Rpl6,RL6_MOUSE 60S ribosomal protein L6,9,7,9050.2,8623.36,15329.6,5528.97,14190.4,12057.5,14334,12054.7,4582.69,4567.6,2838.47,2470.1,1587.54,2565.92,2862.64,2943.98,3319.85,4264.2,1393.09,2270.08
sp|P47915|RL29_MOUSE,Rpl29,RL29_MOUSE 60S ribosomal protein L29,5,2,3175.64,4276.88,6574.26,2069.66,5999,5934.93,6146.77,5568.13,2782.14,2093.49,977.428,650.813,361.223,660.52,839.693,793.774,2575.41,1324.47,433.335,589.677
sp|P47962|RL5_MOUSE,Rpl5,RL5_MOUSE 60S ribosomal protein L5,6,3,2558.54,2976.42,5027.84,1487.59,4123.44,3504.14,4536.94,3597.87,2040.83,1943.88,540.706,495.224,320.654,588.374,527.597,483.506,591.895,762.817,323.116,596.696
